Ebook_ID,Ebook_Title,Material_Subject,Ebook_Author,Ebook_Price,Ebook_Rating,Ebook_No_Of_Rating,Ebook_URL,Image Link
41,Higher Engineering Mathematics,Calculus,"H.K. Dass, Rajnish Verma",737.5,4.3,147,https://amzn.in/d/7EYXJt8,https://drive.google.com/uc?id=1BSU5U0f6TNiAEaDJU6UlGcpuQg13XK9- 
42,Ordinary and Partial Differential Equations,Calculus,M. D. Raisinghania,457.25,4.5,558,https://amzn.in/d/hBnTNlg,https://drive.google.com/uc?id=1vFIil-nxoqVlROykVojQxuLzmB1dAyGm 
43,ADVANCED DIFFERENTIAL EQUATIONS,Calculus,M. D. Raisinghania,530.41,5,1,https://amzn.in/d/acJAqo2,https://drive.google.com/uc?id=1GLFXBYy88BO8VtuogNi_pteMkHIKBG-f 
44,Linear Algebra,Linear Algebra,Kenneth M Hoffman,419,4.4,681,https://amzn.in/d/5KNGj0L,https://drive.google.com/uc?id=1lgVN9jcgorRx4rKZVq2ga_YOzIL0S9up 
45,Matrices and Linear Algebra ,Linear Algebra,"Hans Schneider, George Philip Barker",1313.72,4.3,59,https://amzn.in/d/f98fw22,https://drive.google.com/uc?id=1X0PD_RpNYQfc06osEaqBEF_e-L04n4pw 
46,LINEAR ALGEBRA,Linear Algebra,Georgi E. Shilov,1178,4.6,314,https://amzn.in/d/bGzLPsk,https://drive.google.com/uc?id=1khmc5tv4swMKurGe8SMC7aLSGaPZnRjx 
47,LINEAR ALGEBRA,Linear Algebra,Kuldeep Singh,469.31,4.5,89,https://amzn.in/d/f5PgNN2,https://drive.google.com/uc?id=13p5BPGDL1URvItZ3KteI40LBIpJCAL_m 
48,An Introduction to Linear Algebra,Linear Algebra,L. Mirsky,1242.31,4.7,14,https://amzn.in/d/9q52igq,https://drive.google.com/uc?id=1Wl6-Bd9NGmUPBCi-enTt_qjjMGNMdxdg 
49,Database Management Systems ,DBMS,Rajiv Chopra,330.4,4.2,99,https://amzn.in/d/7CcBkJs,https://drive.google.com/uc?id=1zEw8NCzXIVdBuJoD7Up_HLOmXRZODgW9 
50,Fundamentals of Database System,DBMS,"Ramez Elmashri, Shamkant B. Navathe",364.8,4.4,655,https://amzn.in/d/hFbfzX6,https://drive.google.com/uc?id=1ywjktKvbyrAuccoX9G_NQgpAfPy9qD3i 
51,Express Learning Database Management Systems,DBMS,ITL ESL ,321.31,4.4,23,https://amzn.in/d/7LV8mZF,https://drive.google.com/uc?id=1OMuMCt41xS7sMEGJyM5-tQqkvhNlQpeA 
52,Advanced Database Management System,DBMS,"Sanjeev Sharma, Jitendra Agrawal, Shikha Agrawal",264,4.6,3,https://amzn.in/d/eMqwfIM,https://drive.google.com/uc?id=1t6XJCrQAcDM_x4_NbayPUtXySJMtJ-d7 
53,Decode Database Management Systems for JNTU-H ,DBMS,A. A. Puntambekar,147,4.6,20,https://amzn.in/d/b0NBCP6,https://drive.google.com/uc?id=17865MY0MWmqguUVR5BYYDXBTuf123PYt 
54,INTRODUCTION TO DATABASE MANAGEMENT SYSTEMS,DBMS,Atul Kahate,222.08,3.5,10,https://amzn.in/d/c3yBNgM,https://drive.google.com/uc?id=1B-UALRq3ZUDdN75yjWTCqBEX4_XvbI-h 
