Paperback_ID,Paperback_Title,Material_Subject,Paperback_Author,Paperback_Publisher,Paperback_Price,Paperback_Rating,Paperback_No_of_Ratings,Paperback_URL,Image Links
55,Digital Image Processing,Image Processing,"Rafael C. Gonzalez, Richard E. Woods",Pearson Education India,879,4.5,365,https://amzn.in/d/3dvK7Sk,https://drive.google.com/uc?id=1eapVLL1GZVLEQt4a4Jjo624X7aYROJP5 
56,Digital Image Processing,Image Processing,"Kshama Pandey, P. K. Chaturvedi",Vayu Education of India,120,2,8,https://amzn.in/d/0VdcLZF,https://drive.google.com/uc?id=1hiCiB-K9dJygJUFfYSJzJIIQoEihdwgp 
57,Python Image Processing Cookbook,Image Processing,Sandipan Dey,Packt Publishing,3599,4.3,13,https://amzn.in/d/fqNI7Fn,https://drive.google.com/uc?id=1XYqOAsh3mg1rkYsUbsUSXeWsftW2KdaP 
58,DIGITAL IMAGE PROCESSING,Image Processing,S Sridhar,Oxford University Press,776,4.4,41,https://amzn.in/d/3JbAlql,https://drive.google.com/uc?id=1IWZ-Bu7aJmKCfEzrQSJ5R1pOE1X9MySu 
59,FUNDAMENTALS OF DIGITAL IMAGE PROCESSING,Image Processing,Anil K. Jain,Prentice-Hall of India,436,3.5,7,https://amzn.in/d/3vv7DVF,https://drive.google.com/uc?id=1wdF2QiF-5x6UvW5un876wZqr0xLZDANL 
60,Fundamentals of Digital Image Processing ,Image Processing,Sanjay Sharma,SK Kataria and Sons,305,3,4,https://amzn.in/d/7eeF3tS,https://drive.google.com/uc?id=1AIezq5YwgLkOciIfQKMkFqrUAbyziC5a 
61,Image Processing Masterclass with Python,Image Processing,Sandipan Dey,BPB Publications,1099,4.1,18,https://amzn.in/d/3fqXGLG,https://drive.google.com/uc?id=1eqr_kBJQIUfH9gVRSp81ha0P8CkHBdoa 
62,Digital Image Processing,Image Processing,"Munesh Chandra Trivedi, Sanjay M. Shah",Khanna Publishers,425,1,1,https://amzn.in/d/3TN0NXC,https://drive.google.com/uc?id=1Gaoz-XQcbi-jSx0p_6fdwuQw0xVOM-mf 
63,"Image Processing, Analysis, and Machine Vision with MindTap",Image Processing,"Milan Sonka, Vaclav Hlavac, Roger Boyle",Cengage India Private Limited,1050,4.1,17,https://amzn.in/d/5IqU53i,https://drive.google.com/uc?id=1PoBGhrCK2CoVbLmWbMOBOUkjwnSsP0Ix 
64,Digital Image Processing For MU B.E. Electronics Engineering,Image Processing,Dhanajay K. Theckadath,TechKnowledge Publications,375,4.5,2,https://amzn.in/d/6dofRpn,https://drive.google.com/uc?id=1YyKGgsvE5Uiy9oA5CFuMe-vSScUXLY6o 
65,DIGITAL IMAGE PROCESSING USING MATLAB,Image Processing,"Rafael C. Gonzalez, Richard E. Woods, Steven L. Eddins",McGraw Hill Education,1260,4.4,122,https://amzn.in/d/7M1GhiF,https://drive.google.com/uc?id=1wJY3hPqBSvrdnONf_7rdUl_RLWa5-aOG 
66,Digital Image Processing,Image Processing,"S Jayaram, S Esakkirajan, T. Veerakumar",McGraw Hill Education,1280,4.7,9,https://amzn.in/d/b6wJXEv,https://drive.google.com/uc?id=1ynkihkfw2utWUm12-RclZDBL-0C3OFd6 
67,Ordinary Differential Equations and Vector Calculus,Calculus,SIA Publishers & Distributors Pvt Ltd,SIA Publishers & Distributors Pvt Ltd,199,5,3,https://amzn.in/d/8LdAkz8,https://drive.google.com/uc?id=1ii-AT1isIrqEdXaobOh-UMmOeVMdAmcy 
68,Calculus: Problems and Solutions ,Calculus,Abraham Ginzburg,Dover Pubns,2108,4.7,26,https://amzn.in/d/36TvwJH,https://drive.google.com/uc?id=1jFVuXsx0252OjPTEUZqRqwsmnb2rt5nB 
69,College Algebra and Calculus,Calculus,Ron Larson,Brooks/Cole,2290.32,4.5,31,https://amzn.in/d/44ocU5f,https://drive.google.com/uc?id=1CxjmYJbCi45yiiWHqiOcV9c_KF23I3ki 
70,Higher Engineering Mathematics ,Calculus,B. S. Grewal,Khanna Publishers,899,4.4,2614,https://amzn.in/d/cp20zCc,https://drive.google.com/uc?id=1fPBQfdysUEW1ZxUSWLM84Pu72Do7l932 
71,Higher Engineering Mathematics,Calculus,Bandaru Ramana,McGraw Hill Education,995,4.3,348,https://amzn.in/d/1ETqM5y,https://drive.google.com/uc?id=135IHfB5IM3Zqk970F34HENqZlaADoTM3 
72,Higher Engineering Mathematics,Calculus,"H.K. Dass, Rajnish Verma",S Chand,1250,4.3,147,https://amzn.in/d/4gu63SJ,https://drive.google.com/uc?id=1BSU5U0f6TNiAEaDJU6UlGcpuQg13XK9- 
73,Advanced Engineering Mathematics,Calculus,Erwin Kreyszig,Wiley,1149,4.6,3,https://amzn.in/d/4FdXhVu,https://drive.google.com/uc?id=1DkvAf5x1G6Weie-yZXxHOsoMso59j0Jo 
74,ADVANCED ENGINEERING MATHEMATICS,Calculus,"R. K. Jain, S. R. K. Iyengar",Narosa,1250,4.6,14,https://amzn.in/d/ekIt8O7,https://drive.google.com/uc?id=1oW1Tc2coi4AVqZBxMB-sogz2bzS-R6H4 
75,Differential Equations,Calculus,Shepley L. Ross,Wiley,739,4.6,319,https://amzn.in/d/ittj33v,https://drive.google.com/uc?id=1EmJykuN-hdDgTvpm6nluZqacf1bJ6QpT 
76,Ordinary and Partial Differential Equations,Calculus,M. D. Raisinghania,S Chand,895,4.5,558,https://amzn.in/d/hBnTNlg,https://drive.google.com/uc?id=1vFIil-nxoqVlROykVojQxuLzmB1dAyGm 
77,ADVANCED DIFFERENTIAL EQUATIONS,Calculus,M. D. Raisinghania,S Chand,899,4.6,132,https://amzn.in/d/aSR3zUl,https://drive.google.com/uc?id=1GLFXBYy88BO8VtuogNi_pteMkHIKBG-f 
